"Name","Screen name","Party","Constituency","Followers","New followers in last 24 hours"
"Jane Stevenson","@Jane_Stevenson_","Conservative","Wolverhampton North East",3965,10
"Jane Hunt","@JaneMHunt","Conservative","Loughborough",2801,1
"Jamie Stone","@Jamie4North","Liberal Democrat","Caithness, Sutherland and Easter Ross",10996,1
"Jamie Hamilton Wallis","@JamieWallisMP","Conservative","Bridgend",2214,0
"James Wild","@jamesowild","Conservative","North West Norfolk",1920,3
"James Sunderland","@JamesSunderl","Conservative","Bracknell",2447,4
"James Murray","@jamesmurray_ldn","Labour","Ealing North",8232,1
"James Morris","@JamesMorris","Conservative","Halesowen and Rowley Regis",8286,4
"James Heappey ","@JSHeappey","Conservative","Wells",13754,-3
"James Gray ","@JGray","Conservative","North Wiltshire",17472,-1
"James Duddridge ","@JamesDuddridge","Conservative","Rochford and Southend East",22459,8
"James Davies","@JamesDavies","Conservative","Vale of Clwyd",5551,4
"James Daly","@JamesDalyMP","Conservative","Bury North",3985,3
"James Cleverly ","@JamesCleverly","Conservative","Braintree",92416,1
"James Cartlidge ","@jc4southsuffolk","Conservative","South Suffolk",9098,2
"James Brokenshire ","@JBrokenshire","Conservative","Old Bexley and Sidcup",27883,0
"Jake Berry ","@JakeBerry","Conservative","Rossendale and Darwen",19682,3
"Jacob Young","@JacobYoungMP","Conservative","Redcar",8241,11
"Jacob Rees-Mogg ","@Jacob_Rees_Mogg","Conservative","North East Somerset",426632,156
"Jackie Doyle-Price ","@JackieDP","Conservative","Thurrock",12261,-2
"Jack Lopresti ","@JackLopresti","Conservative","Filton and Bradley Stoke",8070,2
"Jack Dromey ","@JackDromeyMP","Labour","Birmingham, Erdington",24377,-6
"Imran Nasir Ahmad Khan","@imranahmadkhan","Conservative","Wakefield",4412,9
"Imran Hussain ","@Imran_HussainMP","Labour","Bradford East",17247,-2
"Ian Murray ","@IanMurrayMP","Labour","Edinburgh South",31574,-4
"Ian Mearns ","@IanMearnsMP","Labour","Gateshead",27114,-11
"Ian Lavery ","@IanLaveryMP","Labour","Wansbeck",76514,22
"Ian Byrne","@IanByrneMP","Labour","Liverpool, West Derby",23058,12
"Ian Blackford ","@Ianblackford_MP","Scottish National Party","Ross, Skye and Lochaber",99295,54
"Iain Stewart ","@iainastewart","Conservative","Milton Keynes South",17402,0
"Iain Duncan Smith","@MPIainDS","Conservative","Chingford and Woodford Green",43970,40
"Hywel Williams ","@HywelPlaidCymru","Plaid Cymru","Arfon",9851,0
"Huw Merriman ","@HuwMerriman","Conservative","Bexhill and Battle",18494,0
